label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
advisoryID,TXP,The unique ID of the advisory entity corresponding to this observation.,AgriAdvisory,"Text, ValueDescriptor",,,0,0,
cropDiseaseInfo,SP,The disease related information of the crop corresponding to this observation.,"CropSpecies,
AgriAdvisory",CropDiseaseDesc,,,1,0,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
AgriAdvisory",LocaleDesc,,,1,0,
observationDateTime,TP,Last reported time of observation.,"Commons,
LandParcel,
AgriAdvisory","DateTime, ValueDescriptor",,,1,0,
cropNameLocal,TXP,The common/local name of the crop species corresponding to the observation.,"CropSpecies,
AgriAdvisory","Text, ValueDescriptor",,,1,0,
cropCodeICC,TXP,The unique code assigned for the crop species as per the ICC (International Crop Classification) of FAO (Food and Agicultural Organisation).,"CropSpecies,
AgriAdvisory","Text, ValueDescriptor",,,1,0,
cropVarietyName,TXP,The variations within the plant species either naturally or developed in research station.,"CropSpecies,
AgriAdvisory","Text, ValueDescriptor",,,1,0,
cropSeason,TXP,"The season in which the crop species is planted and harvested. ENUM [Kharif, Rabi, Zaid].","CropSpecies,
AgriAdvisory","Text, ValueDescriptor",,,1,0,
mediaURL,TXP,Link(s) to any image(s) or media of the entity or incident corresponding to this observation,"LandParcel,
AgriAdvisory","Text,
Text-list,
ValueDescriptor",,,1,1,
advisoryNature,TXP,The nature of adivsory correspnoding to this observation.,AgriAdvisory,"Text, ValueDescriptor",,,0,0,
advisoryChannel,TXP,The channel(s) for communicating the advisory information to reach a larger group of people. ,AgriAdvisory,"Text,
Text-list,
ValueDescriptor",,,0,0,
natureOfProblem,TXP,"The problem for which the advisory has been issued to the people. such as flood, cyclone, insects attack, diseases, etc.",AgriAdvisory,"Text,
ValueDescriptor",,,0,0,
fileFormat,TXP,Format of the media file corresponding to this observation.,AgriAdvisory,"Text,
Text-list,
ValueDescriptor",,,1,1,
