label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
addressLine,TXP,Address corresponding to this observation,AddressDesc,"Text, ValueDescriptor",,,0,0,
buildingNum,TXP,The unique number of the house/building/shop/flat corresponding to this observation.,AddressDesc,"Text, ValueDescriptor",,,0,0,
street,TXP,Street name corresponding to this observation.,AddressDesc,"Text, ValueDescriptor",,,0,0,
locality,TXP,Area name of the location corresponding to this observation.,AddressDesc,"Text, ValueDescriptor",,,0,0,
stateName,TXP,Name of the state corresponding to this observation.,"LocaleDesc,
AddressDesc","Text, ValueDescriptor",,,1,0,
districtName,TXP,Name of the district corresponding to this observation.,"LocaleDesc,
AddressDesc","Text, ValueDescriptor",,,1,0,
cityName,TXP,Name of the city corresponding to this observation.,AddressDesc,"Text, ValueDescriptor",,,0,0,
pincode,QP,The postal code corresponding to this observation.,AddressDesc,"Number, ValueDescriptor",,,0,0,
countryName,TXP,Name of the country corresponding to this observation.,"LocaleDesc,
AddressDesc","Text, ValueDescriptor",,,1,0,
countryCode,TXP,Name of the country code corresponding to this observation.,"LocaleDesc,
AddressDesc","Text, ValueDescriptor",,,1,0,
stateCode,TXP,Name of the state code corresponding to this observation.,AddressDesc,"Text, ValueDescriptor",,,0,0,
villageName,TXP,Name of the village corresponding to this observation.,"LocaleDesc,
AddressDesc","Text, ValueDescriptor",,,1,0,
