label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
contactPointInfo,SP,Contact point information of a individual/business/service corresponding to this observation.,"AgriMarket,AgriBusiness",ContactPointDesc,,,1,0,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
AgriMarket,AgriBusiness",LocaleDesc,,,1,0,
personnelInfo,SP,Personal information of the individual/business/service corresponding to this observation.,"Farmer,
AgriMarket,AgriBusiness",PersonnelDesc,,,1,0,
foundingDate,TP,The date when the association/business/market was established.,"AgriMarket,AgriBusiness","Text, ValueDescriptor",,,1,0,
areaServed,TXP,"The list of geographic areas (states, districts) served by the entity.
","ModelDesc, 
FarmerCollective,
AgriMarket,AgriBusiness","Text, 
Text-list,
ValueDescriptor",,,1,0,
mediaURL,TXP,Link(s) to any image(s) or media of the entity or incident corresponding to this observation,"LandParcel,
AgriAdvisory,
AgriMarket, AgriBusiness","Text,
Text-list,
ValueDescriptor",,,1,1,
feedback,TXP,"The opinions, insights, and suggestions of an individual or group about an entity or service corresponding to this observation",AgriBusiness,"Text, ValueDescriptor",,,0,0,
registrationNumber,TXP,The registration number of the entity corresponding to this observation.,"IdentityDesc,
AgriMarket, AgriBusiness","Text, ValueDescriptor",,,1,0,
location,GP,The physical location of the entity corresponding to the observation.,"LandParcel,
AgriMarket, AgriBusiness","Place, ValueDescriptor",,,1,1,
pos,GP,Point of Sale (POS) represents the location(s) where transactions are completed when goods or services are sold corresponding to this observation.,AgriBusiness,"Place, ValueDescriptor",,,0,0,
productName,TXP,Name of the product corresponding to this observation.,AgriBusiness,"Text, ValueDescriptor",,,0,0,
productCode,TXP,The unique code assigned to the product corresponding to this observation.,AgriBusiness,"Text, ValueDescriptor",,,0,0,
productDescription,TXP,The detailed description of the product corresponding to this observation.,AgriBusiness,"Text, ValueDescriptor",,,0,0,
serviceName,TXP,Name of the service offered by an organization or an entity corresponding to this observation.,"FarmerCollective,
AgriBusiness","Text, ValueDescriptor",,,1,0,
serviceCode,TXP,The unique code assigned to a service corresponding to this observation.,"FarmerCollective,
AgriBusiness","Text, ValueDescriptor",,,1,0,
serviceDescription,TXP,The description of the service corresponding to this observation.,"FarmerCollective,
AgriBusiness","Text, ValueDescriptor",,,1,0,
orgName,TXP,The name of the organisation or entity corresponding to this observation.,AgriBusiness,"Text, ValueDescriptor",,,0,0,
