label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
gender,TXP,Gender of the individual corresponding to this observation,"PersonnelDesc,
AgriExpert","Text, ValueDescriptor",,,1,0,
name,TXP,Name of the individual corresponding to this observation,"PersonnelDesc,
AgriExpert","Text, ValueDescriptor",,,1,1,
phone,TXP,Phone number  corresponding to this observation,"PersonnelDesc,
AgriExpert","Text, ValueDescriptor",,,1,0,
email,TXP,Email address of the individual corresponding to this observation,"PersonnelDesc,
AgriExpert","Text, ValueDescriptor",,,1,0,
residentialAddress,SP,Residential address corresponding to this observation,"PersonnelDesc,
AgriExpert",AddressDesc,,,1,0,
permanentAddress,SP,Permanent address corresponding to this observation,"PersonnelDesc,
AgriExpert",AddressDesc,,,1,0,
businessAddress,SP,Business address corresponding to this observation,"PersonnelDesc,
AgriExpert",AddressDesc,,,1,0,
orgName,TXP,The name of the organisation or entity corresponding to this observation.,"AgriBusiness,
AgriExpert","Text, ValueDescriptor",,,1,0,
designation,TXP,Designation of the individual corresponding to this observation,"PersonnelDesc,
AgriExpert","Text, ValueDescriptor",,,1,0,
imageURL,TXP,The link that points to the picture of the individual or an entity corresponding to this observation.,"PersonnelDesc,
AgriExpert","Text,
Text-list, ValueDescriptor",,,1,0,
academicQualification,TXP,The highest educational qualification of the individual corresponding to this observation.,"PersonnelDesc,
AgriExpert","Text, ValueDescriptor",,,1,0,
workStatus,TXP,"The work status indicates whether the individual or entity is actively working, on leave, part-time, full-time, temporary, permanent, retired or in any other specific arrangement.","PersonnelDesc,
AgriExpert","Text, ValueDescriptor",,,1,0,
expertise,TXP,"The advanced knowledge, skills, and understanding acquired through education, training, and experience in diverse agricultural aspects, aiding in productivity, risk reduction, resource conservation, and sustainable profitability.","PersonnelDesc,
AgriExpert","Text, ValueDescriptor",,,1,0,
jurisdiction,TXP,The administrative divisions within which the entity holds territorial scope of authority.,"PersonnelDesc,
AgriExpert","Text,
Text-list,
ValueDescriptor",,,1,0,
language,TXP,Represents the language(s) that can be used for communicating with an entity or those offered by a service corresponding to this observation.,"AgriMarket,
AgriExpert","Text,
Text-list,
ValueDescriptor",Fiware: CPSV-AP.PublicService,,1,0,
identityInfo,SP,Personal identification information issued by the government.,"PersonnelDesc,
AgriExpert",IdentityDesc,,,1,0,
