label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
name,TXP,Name of the individual corresponding to this observation,"PersonnelDesc,
AgriManufacturer","Text, ValueDescriptor",,,1,1,
phone,TXP,Phone number  corresponding to this observation,"PersonnelDesc,
AgriManufacturer","Text, ValueDescriptor",,,1,0,
email,TXP,Email address of the individual corresponding to this observation,"PersonnelDesc,
AgriManufacturer","Text, ValueDescriptor",,,1,0,
residentialAddress,SP,Residential address corresponding to this observation,"PersonnelDesc,
AgriManufacturer",AddressDesc,,,1,0,
permanentAddress,SP,Permanent address corresponding to this observation,"PersonnelDesc,
AgriManufacturer",AddressDesc,,,1,0,
businessAddress,SP,Business address corresponding to this observation,"PersonnelDesc,
AgriManufacturer",AddressDesc,,,1,0,
identityInfo,SP,Personal identification information issued by the government.,"PersonnelDesc,
AgriManufacturer",IdentityDesc,,,1,0,
contactPointInfo,SP,Contact point information of a business/service corresponding to this observation,"AgriMarket,
AgriAdvisory,
AgriManufacturer",ContactPointDesc,,,1,0,
pos,GP,Point of Sale (POS) represents the location(s) where transactions are completed when goods or services are sold corresponding to this observation.,"AgriBusiness,
AgriManufacturer","Place, ValueDescriptor",,,1,0,
areaServed,TXP,"The list of geographic areas (states, districts) served by the entity.
","ModelDesc, 
FarmerCollective,
AgriMarket","Text, 
Text-list,
ValueDescriptor",,,1,0,
productName,TXP,Name of the product corresponding to this observation.,"OtherAgroChemical,
AgriMarket,
AgriManufacturer","Text, ValueDescriptor",,,1,0,
productCode,TXP,The unique code assigned to the product corresponding to this observation.,"OtherAgroChemical,
AgriManufacturer","Text, ValueDescriptor",,,1,0,
purposeDescription,TXP,Descibes the purpose of the entity or service corresponding this observation.,"OtherAgroChemical,
AgriManufacturer","Text, ValueDescriptor",,consentDescription,1,0,
certificateInfo,SP,"Date of issual, expiry/validity, renewal of the document/certificate corresponding to this observation.","OtherAgroChemical,
AgriManufacturer ",CertificateDesc,,,1,0,
feedback,TXP,"The opinions, insights, and suggestions of an individual or group about an entity or service corresponding to this observation","AgriBusiness,
AgriManufacturer","Text, ValueDescriptor",,,1,0,
fssaiInfo,SP,The FSSAI (Food and Safety Standards Authority of India) license details corresponding to this observation.,"ExportTransaction,
AgriManufacturer",CertificateDesc,,,1,0,
