label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
contactPointInfo,SP,Contact point information of a individual/business/service corresponding to this observation.,"AgriMarket,
Farmer",ContactPointDesc,,,1,0,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
AgriMarket,
Farmer",LocaleDesc,,,1,0,
personnelInfo,SP,Personal information of the individual/business/service corresponding to this observation.,"Farmer,
AgriMarket",PersonnelDesc,,,1,0,
foundingDate,TP,The date when the association/business/market was established.,"AgriMarket,
FarmerCollective","Text, ValueDescriptor",,,1,0,
marketID,TXP,The unique ID referring to the agricultural market establishment corresponding to this observation,AgriMarket,"Text, ValueDescriptor",,,0,0,
insurancePremium,QP,The amount that is paid by the individual or business for availing the insurance policy.,"CropInsurance,
AgriMarket","Number, ValueDescriptor",,,1,0,
marketName,TXP,Name of the market corresponding to this observation,AgriMarket,"Text, ValueDescriptor",,,0,0,
marketFee,QP,The amount of money payable by a trader/farmer to use the Stall/Unit in a market corresponding to this observation.,AgriMarket,"Number, ValueDescriptor",,,0,0,
marketValuation,QP,The total worth of the market which means the total arrival quantity with the price of the commodity .,AgriMarket,"Number, ValueDescriptor",,,0,0,
amcGrade,TXP,The grade assigned by the Agricultural Market Committee corresponding to this observation.,AgriMarket,"Text, ValueDescriptor",,,0,0,
amcName,TXP,The name of the Agricultural Market Committee corresponding to this observation.,AgriMarket,"Text, ValueDescriptor",,,0,0,
amcCode,TXP,The unique code assigned to the Agricultural Market Committee corresponding to this observation.,AgriMarket,"Text, ValueDescriptor",,,0,0,
agencyName,TXP,The agency which procures the commodity corresponding to this observation.,"AgriMarket,
CropInsurance","Text, ValueDescriptor",,,1,0,
observationDateTime,TP,Last reported time of observation.,"Commons,
LandParcel,
AgriMarket","DateTime, ValueDescriptor",,,1,0,
farmerCount,QP,The total number of farmers registered with the market corresponding to this observation.,"AgriMarket,
FarmerCollective","Number, ValueDescriptor",,,1,0,
traderCount,QP,The total number of traders registered with the market corresponding to this observation.,AgriMarket,"Number, ValueDescriptor",,,0,0,
commissionAgentCount,QP,The total number of commission agents registered with the market corresponding to this observation.,AgriMarket,"Number, ValueDescriptor",,,0,0,
govtAgencyCount,QP,The total number of government agencies corresponding to this observation.,AgriMarket,"Number, ValueDescriptor",,,0,0,
commodityInfo,SP,The information about the agricultural produce/commodity associated with the AMC/market corresponding to this observation.,AgriMarket,DomesticPriceInfo,,,0,0,
amcID,TXP,The unique ID assigned to the Agricultural Market Committee corresponding to this observation.,AgriMarket,"Text, ValueDescriptor",,,0,0,
orgBranches,TXP,The branches or sub units of an organisation at different geographical locations.,"FarmerCollective,
AgriMarket","Text, Text-list, ValueDescriptor",,,1,0,
areaServed,TXP,"The list of geographic areas (states, districts) served by the entity.
","ModelDesc, 
FarmerCollective,
AgriMarket","Text, 
Text-list,
ValueDescriptor",,,1,0,
mediaURL,TXP,Link(s) to any image(s) or media of the entity or incident corresponding to this observation,"LandParcel,
AgriAdvisory,
AgriMarket","Text,
Text-list,
ValueDescriptor",,,1,1,
landExtent,QP,Area of the land corresponding to this observation.,"LandParcel,
AgriMarket","Number, ValueDescriptor",,,1,0,
weighBridgeCapacity,QP,The maximum capacity of the weighing bridge corresponding to this observation.,AgriMarket,"Number, ValueDescriptor",,,0,0,
auctionShedNumber,TXP,The unique identifier for the auction shed corresponding to this observation.,AgriMarket,"Text, ValueDescriptor",,,0,0,
auctionShedSpace,QP,The total land area of the market/mandi allocated for auctioning of commodities.,AgriMarket,"Number, ValueDescriptor",,,0,0,
officeSpace,QP,The total land area allocated for administrative purposes of a business or market corresponding to this observation.,AgriMarket,"Number, ValueDescriptor",,,0,0,
warehouseSpace,QP,The total land area allocated for the storage of commodities in the market/mandi corresponding to this observation.,AgriMarket,"Number, ValueDescriptor",,,0,0,
registrationNumber,TXP,The registration number of the entity corresponding to this observation.,"IdentityDesc,
AgriMarket","Text, ValueDescriptor",,,1,0,
location,GP,The physical location of the entity corresponding to the observation.,"LandParcel,
AgriMarket","Place, ValueDescriptor",,,1,1,
language,TXP,Represents the language(s) that can be used for communicating with an entity or those offered by a service corresponding to this observation.,"AgriMarket,
PersonnelDesc","Text,
Text-list,
ValueDescriptor",Fiware: CPSV-AP.PublicService,,1,0,
capitalInfo,SP,The income and expenditure information corresponding to the entity.,"LandParcel,
Farmer, AgriMarket",CapitalDesc,,,1,0,
