label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
AgriMarket,
DomesticPriceInfo",LocaleDesc,,,1,0,
marketID,TXP,The unique ID referring to the agricultural market establishment corresponding to this observation,"AgriMarket,
DomesticPriceInfo","Text, ValueDescriptor",,,1,0,
marketName,TXP,Name of the market corresponding to this observation,"AgriMarket,
DomesticPriceInfo","Text, ValueDescriptor",,,1,0,
commodityName,TXP,The  name of the commodity corresponding to this observation.,DomesticPriceInfo,"Text, ValueDescriptor",,,0,0,
commodityCode,TXP,The unique code of the commodity corresponding to this observation.,DomesticPriceInfo,"Text, ValueDescriptor",,,0,0,
commodityNameICC,TXP,The name of the commodity corresponding to this observation as given by the ICC (Indicative Crop Classification).,DomesticPriceInfo,"Text, ValueDescriptor",,,0,0,
commodityCodeICC,TXP,The unique code assigned to the commodity corresponding to this observation as given by the ICC (Indicative Crop Classification).,DomesticPriceInfo,"Text, ValueDescriptor",,,0,0,
commodityVarietyName,TXP,Variety name of the commodity corresponding to this observation.,DomesticPriceInfo,"Text, ValueDescriptor",,,0,0,
commodityVarietyCode,TXP,The unique code assigned to the variety of a commodity corresponding to this observation.,DomesticPriceInfo,"Text, ValueDescriptor",,,0,0,
arrivalQuantity,QP,The quantity of commodity arrived at the market corresponding to this observation.,DomesticPriceInfo,"Number, ValueDescriptor",,,0,0,
tradedQuantity,QP,The total quantity of commodity that has been traded in the market corresponding to this observation.,DomesticPriceInfo,"Number, ValueDescriptor",,,0,0,
maximumPrice,QP,The maximum price of the product/commodity/service corresponding to this observation.,DomesticPriceInfo,"Number, ValueDescriptor",,,0,0,
minimumPrice,QP,The minimum price of the product/commodity/service corresponding to this observation.,DomesticPriceInfo,"Number, ValueDescriptor",,,0,0,
modalPrice,QP,The most frequent pricing/modal price of the product/commodity/service corresponding to this observation.,DomesticPriceInfo,"Number, ValueDescriptor",,,0,0,
observationDateTime,TP,Last reported time of observation.,"Common
LandParcel,
AgriMarket,
DomesticPriceInfo","DateTime, ValueDescriptor",,,1,0,
commodityDescription,TXP,The detailed description of the commodity or product corresponding to this observation.,DomesticPriceInfo,"Text, ValueDescriptor",,,0,0,
