label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
transportationCost,QP,"The total cost incurred due to transportation of raw materials / supplies / merchandise which includes the road tax, state and central tax, IGST, etc.",CapitalDesc,"Number, ValueDescriptor",,,0,0,
cultivationCost,QP,The total expense incurred on cultivation ,CapitalDesc,"Number, ValueDescriptor",,,0,0,
machineryCost,QP,The total machinery cost incurred from agricultural purposes.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
electricityCost,QP,The total electricity cost incurred from agricultural purposes.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
netExpenditure,QP,The total cost incurred for the cultivation of a crop.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
miscellaneousCost,QP,The inevitable minor expenses incurred for a season in the cultivation of a crop corresponding to this observation.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
leaseAmount,QP,The amount paid by the lessee for the land under cultivation.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
labourCost,QP,The total labour cost incurred during the cultivation of a crop.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
netIncome,QP,Net revenue from the farmland corresponding to this observation,CapitalDesc,"Number, ValueDescriptor",,,0,0,
harvestCost,QP,The total cost incurred for harvesting the crop.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
landCess,QP,The amount of tax levied on land holdings.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
costType,TXP,"Describes the type of the cost, for eg., whether the cost is estimated or billed.",CapitalDesc,"Number, ValueDescriptor",,,0,0,
paymentTerm,TXP,Description of the terms of payment corresponding to this observation.,CapitalDesc,"Text, ValueDescriptor",,,0,0,
freightCost,QP,The cost incurred for transporting the goods from the point of origin to a destination location.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
cgst,QP,Central Goods and Services Tax is charged on the intra state supply of products and services.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
sgst,QP,"State Goods and Services Tax like CGST, is charged on the sale of products or services within a state.",CapitalDesc,"Number, ValueDescriptor",,,0,0,
igst,QP,Integrated Goods and Services Tax is charged on inter-state transactions of products and services.,CapitalDesc,"Number, ValueDescriptor",,,0,0,
utgst,QP,"Union Territory Goods and Services Tax is levied on the supply of products and services in any of the Union Territories in the country, viz. Andaman and Nicobar Islands, Daman and Diu, Dadra and Nagar Haveli, Lakshadweep, and Chandigarh. UTGST is levied along with CGST.",CapitalDesc,"Number, ValueDescriptor",,,0,0,
currencyType,TXP,The type of currency used for selling the goods and services corresponding to this observation.,CapitalDesc,"Text, ValueDescriptor",,,0,0,
