label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
codeSystemName,TXP,The name of the code system corresponding to this observation.,CodeSystems,"Text, ValueDescriptor",,,0,0,
codeSystemID,TXP,"An identifier for this Code System, which assigns specific, unique codes to the items listed in it. Use of Code Systems accepted globally or nationally, enable identifying the item (like soil, crop, pest, pesticide, fertilizer, geographical unit, PIN/ZIP Code, commodity, market, bank, language, HSN) across the entire ecosystem. ",CodeSystems,"Text, ValueDescriptor",,,0,0,
mediaURL,TXP,Link(s) to any image(s) or media of the entity or incident corresponding to this observation,"LandParcel,
AgriAdvisory,
Imagery,
CodeSystems","Text,
Text-list,
ValueDescriptor",,,1,1,
codeSystemStatus,TXP,"The operational status of the code system corresponding to this observation. For eg., draft, active, retired, experimental, unknown",CodeSystems,"Text, ValueDescriptor",,,0,0,
versionInfo,SP,Information about the version of the entity corresponding to this observation,CodeSystems,Version,,,0,0,
publisherInfo,SP,Details of the person/ organization which has published the code system corresponding to this observation.,CodeSystems,PersonnelDesc,,,0,0,
isCaseSensitive,TXP,"Represents whether the codes in the code system or value set are case sensitive or not. True - if case sensitive, False - if not.",CodeSystems,"Boolean,
ValueDescriptor",,,0,0,
purposeDescription,TXP,Descibes the purpose of the entity or service corresponding this observation.,"ConsentArtifact, 
OtherAgroChemical,
CodeSystems","Text, ValueDescriptor",,consentDescription,1,0,
observationDateTime,TP,Last reported time of observation.,"CodeSystems,
LandParcel","DateTime,
ValueDescriptor",,,1,0,
copyrights,TXP,Copyrights are legal protections that grant creators exclusive rights to control the use and distribution of their original work.,CodeSystems,"Text, ValueDescriptor",,,0,0,
totalCount,QP,Total number of items in the entity corresponding to this observation. ,"CodeSystems,
FarmerCollective","Number, 
ValueDescriptor",,,1,0,
