label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchemas,Reference Link 
dataPrincipal,SP,Detailed information of the source of the data corresponding to this observation.,"ConsentHistory,
ConsentArtifact",PersonnelDesc,,,1,0,
dataProvider,SP,Detailed information of the AIP (Agricultural Information Provider) who aggregates the data from the data principal corresponding to this observation.,"ConsentHistory,
ConsentArtifact",PersonnelDesc,,,1,0,
revocationDateTime,TP,The date and time of revocation for the consent of data corresponding to this observation.,ConsentHistory,"DateTime,
ValueDescriptor",,consentRevocation,0,0,
purposeCode,TXP,The unique code representing the consent artifact corresponding to this observation.,"ConsentHistory,
ConsentArtifact,
OtherAgroChemical","Text, ValueDescriptor",,consentCode,1,0,
purposeDescription,TXP,Descibes the purpose(s) of the entity or service corresponding this observation.,"ConsentHistory,
ConsentArtifact,
OtherAgroChemical","Text, ValueDescriptor",,consentDescription,1,0,
consentStatus,TXP,Represents the current status of consent. It can be 'Active' or 'Revoked' or 'Expired'.,ConsentHistory,"Text, ValueDescriptor",,,0,0,
dataConsumerName,TXP,The name of the consumer who has been granted access to the data corresponding to this observation.,"ConsentHistory,
ConsentArtifact","Text,
Text-list,
ValueDescriptor",,,1,0,
consentArtifactID,TXP,The unique identifier assigned by the consent manager to the consent artifact. ,"ConsentHistory,
ConsentArtifact","Text, ValueDescriptor",,,1,0,
consentDateTime,TP,The date and time at which data consent was granted for the first time.,"ConsentHistory,
ConsentArtifact","DateTime,
ValueDescriptor",,,0,0,
observationDateTime,TP,Last reported time of observation.,"ConsentHistory,
LandParcel","DateTime,
ValueDescriptor",,,1,0,
