label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
policyNumber,TXP,Insurance policy number corresponding to this observation,CropInsurance,"Text, ValueDescriptor",,,0,0,
cropSpeciesInfo,SP,Information of crops corresponding to this observation.,"CropInsurance,
Farmer",CropCondition,,,1,0,
personnelInfo,SP,Personnel information of an individual or business corresponding to this observation.,"CropInsurance,
Farmer",PersonnelDesc,,,1,0,
landIdentityInfo,SP,The unique land identification information corresponding to this observation.,"LandParcel,
CropInsurance",LandIdentityDesc,,,1,0,
schemeInfo,SP,Farmer welfare schemes information corresponding to this observation.,"Farmer,
CropInsurance",PublicSchemes,,,1,0,
insurancePremium,QP,The amount that is paid by the individual or business for availing the insurance policy.,CropInsurance,"Number, ValueDescriptor",,,0,0,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
CropInsurance",LocaleDesc,,,1,0,
issualDate,TP,The date of issual of the insurance corresponding to this observation.,CropInsurance,"Text, ValueDescriptor",,,0,0,
expiryDate,TP,The date of expiry of the insurance corresponding to this observation.,CropInsurance,"Text, ValueDescriptor",,,0,0,
renewalDate,TP,The date of renewal of the insurance corresponding to this observation.,CropInsurance,"Text, ValueDescriptor",,,0,0,
insuranceCoverage,QP,The maximum amount payable in the event of a claim by the policy holder for the insurance policy corresponding to this observation.,CropInsurance,"Number, ValueDescriptor",,,0,0,
agencyName,TXP,The agency which procures the commodity corresponding to this observation.,CropInsurance,"Text, ValueDescriptor",,,0,0,
policyProtection,TXP,"The potential risk(s)/ event(s) that is (are) protected or insured against by the insurance policy corresponding to this observation. For eg., accidents, theft, fire, natural disasters, etc.",CropInsurance,"Text,
Text-list,
ValueDescriptor",,,0,0,
policyDate,TP,The date refers to the date on which the insurance policy itself becomes effective or starts providing coverage. It's the date from which the terms and conditions of the policy are applicable,CropInsurance,"Text, ValueDescriptor",,,0,0,
