label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchemas,Reference Link 
deviceID,TXP,Device ID of the physical sensor/ measurement station corresponding to this observation.,Device,"Text, ValueDescriptor",,,0,0,
deviceName,TXP,Device Name or Station name of the sensor device/station corresponding to this observation.,Device,"Text, ValueDescriptor",,,0,0,
deviceType,TXP,The type of device or sensor corresponding to this observation.,Device,"Text, ValueDescriptor",,,0,0,
deviceStatus,TXP,"Indicates the operational status of physical device or sensor. For eg., active, inactive, etc",Device,"Text, ValueDescriptor",,,0,0,
deviceModel,SP,"Describes the information of the device, sensor or system in consideration.",Device,ModelDesc,,,0,0,
rfID,TXP,Gives the ID of the RFID reader.,Device,"Text, ValueDescriptor",,,0,0,
deviceBatteryStatus,TXP,"Gives the Battery charging status of the reporting device(Connected, Disconnected). ",Device,"Text, ValueDescriptor",,,0,0,
deviceSimNumber,TXP,Gives the sim number of a particular device. ,Device,"Text, ValueDescriptor",,,0,0,
rssi,QP,The RSSI (Received Signal Strength Indicator) value of the entity corresponding to this observation.,Device,"Number, ValueDescriptor",Fiware: Device.rssi,,0,0,
deviceIdentityNumber,TXP,The unique 15 digit International Mobile Equipment Identity (IMEI) number of the device corresponding to this observation.,Device,"Text,
ValueDescriptor",,,0,0,
measurand,TXP,Property/properties sensed/observed/measured by the device.,Device,"Text,
ValueDescriptor",,,0,0,
devicePrecision,QP,The precision of the device or sensor corresponding to this observation.,Device,"Number, ValueDescriptor",,,0,0,
deviceSensitivity,QP,The sensitivity of the device or sensor corresponding to this observation.,Device,"Number, ValueDescriptor",,,0,0,
deviceResolution,QP,The resolution of the device or sensor corresponding to this observation.,Device,"Number, ValueDescriptor",,,0,0,
location,GP,The physical location of the entity corresponding to the observation.,"LandParcel,
Device","Place, ValueDescriptor",,,1,1,
purposeDescription,TXP,Descibes the purpose of the entity or service corresponding this observation.,"
OtherAgroChemical, 
Device","Text, ValueDescriptor",,consentDescription,0,0,
