label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
icaoCode,TXP,The International Civil Aviation Organization (ICAO) code assigned to the category of drone corresponding to this observation.,Drone,"Text, ValueDescriptor",,,0,0,
droneType,TXP,The type of drone categorised by its size or payload capacity or flight distance or wing type etc.,Drone,"Text, ValueDescriptor",,,0,0,
purposeCode,TXP,The unique code representing the purpose of entity or service corresponding to this observation.,Drone,"Text, ValueDescriptor",,consentCode,0,0,
purposeDescription,TXP,Describes the purpose of the entity or service corresponding to this observation.,"Device,
Drone,
OtherAgroChemical","Text, ValueDescriptor",,consentDescription,1,0,
registeringAuthority,TXP,The name of the entity authorised to collect and/or verify user details for the issual of a digital certificate.,"AgriMachinery,
Drone","Text, ValueDescriptor",,,1,0,
licensePlate,TXP,The vehicle registration number corresponding to this observation.,"AgriMachinery,
Drone","Text, ValueDescriptor",,,1,0,
validTill,TP,"The specific period of time during which a document, authorization, offer or permission remains legally or effectively acceptable/applicable.","ConsentArtifact, 
Drone","Text, ValueDescriptor",,consentExpiry,1,0,
modelInfo,SP,The make/model information of the entity corresponding to this observation.,"AgriMachinery,
OtherAgroChemical,
Drone",ModelDesc,,,1,0,
deviceInfo,SP,The information of the device/sensor used in/for the entity/ service  corresponding to this observation. ,"Drone, AgriMachinery",Device,,,1,0,
range,QP,The distance upto which the vehicle is efficiently operational.,Drone,"Number, 
ValueDescriptor",,,0,0,
endurance,QP,Number of hours the drone can fly without refuelling.,Drone,"Number, 
ValueDescriptor",,,0,0,
wingSpan,QP,"The maximum extent across the wings of the drone, measured from tip to tip",Drone,"Number, 
ValueDescriptor",,,0,0,
wingLength,QP,The length of the wing of the drone corresponding to this observation,Drone,"Number, 
ValueDescriptor",,,0,0,
weight,QP,The weight of the entity corresponding to this observation,Drone,"Number, 
ValueDescriptor",,,0,0,
flightAltitude,QP,"The vertical distance or height above a specific reference point, usually the Mean Sea Level (MSL) or a defined datum such as WGS 84 CRS (https://en.wikipedia.org/wiki/World_Geodetic_System).",Drone,"Number, 
ValueDescriptor",,,0,0,
ownershipType,TXP,"The type of ownership of the entity corresponding to this observation. ENUM: [Lease, Rent, Own]","LandParcel, AgriMachinery,
Drone","Text, ValueDescriptor",,,1,0,
ownerInfo,SP,Details of the person who owns the entity corresponding to this observation.,"Drone,
AgriMachinery, LandParcel",PersonnelDesc,,,1,0,
lessorInfo,SP,Details of the person who leases the entity corresponding to this observation.,"Drone,
AgriMachinery, LandParcel",PersonnelDesc,,,1,0,
identityInfo,SP,Personal identification informations issued by the government.,"PersonnelDesc, FarmerCollective, Drone",IdentityDesc,,,1,0,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
AgriMarket, Drone",LocaleDesc,,,1,0,
registrationDate,TP,"The date on which a particular item or entity becomes officially recognized, authorized or approved according to the relevant regulations, procedures or requirements.","Drone,AgriMachinery","Text, ValueDescriptor",,,1,0,
droneCategory,TXP,The category of the drone corresponding to this observation.,Drone,"Text, ValueDescriptor",,,0,0,
droneCapacity,QP,"The maximum weight or load that a drone, can carry or transport.",Drone,"Number, 
ValueDescriptor",,,0,0,
