label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
exporterInfo,SP,Personal information of the organization exporting the commodity corresponding to this observation.,ExportTransaction,PersonnelDesc,,,0,0,
consignerInfo,SP,Details of the consignor sending the shipment corresponding to this observation.,ExportTransaction,PersonnelDesc,,,0,0,
consigneeInfo,SP,Details of the consignee receiving the shipment corresponding to this observation.,ExportTransaction,PersonnelDesc,,,0,0,
rcmcInfo,SP,Detailed information about the RCMC (Registration-cum-membership-certificate) issued by Export Promotion Council.,ExportTransaction,CertificateDesc,,,0,0,
phytosanitaryInfo,SP,Details of the phytosanitary certificate issued by the competent authority. These certificates are used to attest that consignments meet phytosanitary import requirements and are undertaken by a National Plant Protection Organization,ExportTransaction,CertificateDesc,,,0,0,
fssaiInfo,SP,The FSSAI (Food and Safety Standards Authority of India) license details corresponding to this observation.,ExportTransaction,CertificateDesc,,,0,0,
originName,TXP,The name of the origin location corresponding to this observation.,"TransportCost,ExportTransaction","Text, ValueDescriptor",,,1,0,
destinationName,TXP,The name of the destination location corresponding to this observation.,"TransportCost,ExportTransaction","Text, ValueDescriptor",,,1,0,
originCode,TXP,The code of the origin location corresponding to this observation.,"TransportCost,ExportTransaction","Text, ValueDescriptor",,,1,0,
destinationCode,TXP,The code of the destination location corresponding to this observation.,"TransportCost,ExportTransaction","Text, ValueDescriptor",,,1,0,
portOfShipment,TXP,The port where the consignment has been shipped from.,ExportTransaction,"Text, ValueDescriptor",,,0,0,
portOfEntry,TXP,The port where the consignment will land in the country of destination.,ExportTransaction,"Text, ValueDescriptor",,,0,0,
shipmentDate,TP,The date on which the commodity is expected to leave the port of shipment.,ExportTransaction,"Text, ValueDescriptor",,,0,0,
consignmentNumber,TXP,The unique alphanumeric assigned to the consignment procedure in order to track it.,ExportTransaction,"Text, ValueDescriptor",,,0,0,
packageDescription,TXP,The distinguishing identification marks or description of the packaging of merchandise / commodity corresponding to this observation.,ExportTransaction,"Text, ValueDescriptor",,,0,0,
vesselName,TXP,The name of the vessel that carries the consignment.,ExportTransaction,"Text, ValueDescriptor",,,0,0,
consignmentQuantity,QP,The number of units or weight of cargo or food involved in the consignment corresponding to this observation.,ExportTransaction,"Number, 
ValueDescriptor",,,0,0,
natureOfConsignment,TXP,Describes whether the consignment is a sample or the actual merchandise.,ExportTransaction,"Text, ValueDescriptor",,,0,0,
sanitaryMeasures,TXP,Describes the type of disinfection treatment applied to the consignment.,ExportTransaction,"Text,
Text-list,
ValueDescriptor",,,0,0,
capitalInfo,SP,The income and expenditure information corresponding to the entity.,"LandParcel,
Farmer, TransportCost,
ExportTransaction",CapitalDesc,,,1,0,
insuranceInfo,SP,The information about the insurance for the product or equipment or service corresponding to this observation.,"TransportCost,
ExportTransaction",CropInsurance,,,1,0,
mediaURL,TXP,Link(s) to any image(s) or media of the entity or incident corresponding to this observation,"LandParcel,TransportCost, ExportTransaction","Text,
Text-list,
ValueDescriptor",,,1,1,
commodityInfo,SP,The information about the agricultural produce/commodity associated with the amc/market corresponding to this observation.,"AgriMarket,TransportCost, ExportTransaction",DomesticPriceInfo,,,1,0,
validTill,TP,"The specific period of time during which a document, authorization, offer or permission remains legally or effectively acceptable/applicable.","ConsentArtifact,TransportCost, ExportTransaction","Text, ValueDescriptor",,consentExpiry,1,0,
insurancePremium,QP,The amount that is paid by the individual or business for availing the insurance policy.,"CropInsurance,
AgriMarket, ExportTransaction","Number, ValueDescriptor",,,1,0,
fob,TXP,FOB (Free On Board) refers to the ownership and risk associated with shipping goods corresponding to this observation.,ExportTransaction,"Text, ValueDescriptor",,,0,0,
