label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
farmerID,TXP,The unique farmer identification number or ID corresponding to this observation.,Farmer,"Text, ValueDescriptor",,,0,0,
kisanNumber,TXP,The registration number of a farmer for the PM Kisan Samman Nidhi scheme.,Farmer,"Text, ValueDescriptor",,,0,0,
personnelInfo,SP,Personnel information of an individual or business corresponding to this observation.,Farmer,PersonnelDesc,,,0,0,
landParcelInfo,SP,Land parcel information corresponding to this observation,Farmer,LandParcel,,,0,0,
capitalInfo,SP,The income and expenditure information corresponding to the entity.,"LandParcel,
Farmer",CapitalDesc,,,1,0,
schemeInfo,SP,Farmer welfare schemes information corresponding to this observation.,Farmer,PublicSchemes,,,0,0,
cropSpeciesInfo,SP,Information of crops corresponding to this observation.,Farmer,CropCondition,,,0,0,
extensionWorker,SP,"Details about extension worker who is a trained professional and acts as facilitator, educator, and adviser, working closely with farmers to improve agricultural productivity, sustainability, and overall livelihoods",Farmer,PersonnelDesc,,,0,0,
contactPointInfo,SP,Contact point information of a business/service corresponding to this observation,Farmer,ContactPointDesc,,,0,0,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
Farmer",LocaleDesc,,,1,0,
landHolding,QP,The aggregate land possession attributed to a farmer.,Farmer,"Number, ValueDescriptor",,,0,0,
language,TXP,Represents the language(s) that can be used for communicating with an entity or those offered by a service corresponding to this observation.,"Farmer,
PersonalDesc","Text,
Text-list,
ValueDescriptor",,,1,0,
