label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
personnelInfo,SP,Personnel information of an individual or business corresponding to this observation.,"Farmer,
GhgReport",PersonnelDesc,,,1,0,
ghgScope,TXP,"Scope of the emission being reported as per GHG Protocol - Scope 1, Scope 2, Scope 3 as per the India GHG Program https://www.indiaghgp.org/explaining-scope-1-2-3",GhgReport,"Text,
Text-list,
 ValueDescriptor",,,0,0,https://www.indiaghgp.org/explaining-scope-1-2-3
ghgName,TXP,The name(s) of greenhouse gas(es) emitted during the reporting period. The presence of multiple gases is represented by enclosing them in a list.,GhgReport,"Text,
Text-list,
ValueDescriptor",,,0,0,
ghgEmission,QP,"The amount of greenhouse gas(es) emitted during the reporting period. In case of multiple gases, it is an array of gas emission measures in the order of gases mentioned in 'ghgName'.",GhgReport,"Number,
NumericArray,
ValueDescriptor",,,0,0,https://www.investopedia.com/terms/c/carbon_credit.asp#toc-what-are-carbon-credits
totalEmission,QP,Total emission of greenhouse gases during the reporting period,GhgReport,"Number, 
ValueDescriptor",,,0,0,
reportPeriod,TXP,The time period for which the report or analysis or document corresponding to this observation relates to.,GhgReport,"Text, ValueDescriptor",,,0,0,
startDate,TP,The date from which the data in the report corresponding to this observation relates to.,GhgReport,"Text, ValueDescriptor",,,0,0,
endDate,TP,The date until which the data in the report corresponding to this observation related to.,GhgReport,"Text, ValueDescriptor",,,0,0,
approvalDate,TP,The date on which a report or document has been offically approved.,GhgReport,"Text, ValueDescriptor",,,0,0,
certificateInfo,SP,"Date of issual, expiry/validity, renewal of the document/certificate corresponding to this observation.","OtherAgroChemical,
GhgReport",CertificateDesc,,,1,0,
offsetValue,QP,"The offset value represents a measurable decrease or elimination of greenhouse gas emissions, specifically carbon dioxide (CO2) or its equivalents, permitted or asserted during the reporting period corresponding to this observation.",GhgReport,"Number, 
ValueDescriptor",,,0,0,
creditValue,QP,Amount of carbon credits or its equivalents for the reporting period associated with an organisation corresponding to this observation.,GhgReport,"Number, 
ValueDescriptor",,,0,0,
targetValue,QP,Target cap of GHG emissions set by the management for the reporting period corresponding to this observation.,GhgReport,"Number, 
ValueDescriptor",Fiware.KeyPerformanceIndicator.businessTarget,,0,0,https://github.com/smart-data-models/dataModel.KeyPerformanceIndicator/blob/master/KeyPerformanceIndicator/schema.json
refPeriod,TXP,"A specific timeframe or time interval that is chosen as a basis for comparison, analysis, or measurement of certain events, data, or phenomena. ",GhgReport,"Number, 
ValueDescriptor",,,0,0,
reportingAuthority,TXP,The name of the entity authorised to approve the report or document corresponding to this observation.,GhgReport,"Text, ValueDescriptor",,,0,0,
observationDateTime,TP,Last reported time of observation.,"Common,
LandParcel,
GhgReport","DateTime, ValueDescriptor",,,1,0,
