label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link ,,,,,,,,,
advisoryID,TXP,The unique ID of the advisory entity corresponding to this observation.,"AgriAdvisory, 
HyperLocalAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
AgriAdvisory, 
HyperLocalAdvisory",LocaleDesc,,,1,0,,,,,,,,,,
observationDateTime,TP,Last reported time of observation.,"LandParcel,
AgriAdvisory, 
HyperLocalAdvisory","DateTime, ValueDescriptor",,,1,0,,,,,,,,,,
cropNameCommon,TXP,The common/local name of the crop species corresponding to the observation.,"CropCondition,
AgriAdvisory, 
HyperLocalAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
cropCodeICC,TXP,The unique code assigned for the crop species as per the ICC (International Crop Classification) of FAO (Food and Agicultural Organisation).,"CropCondition,
AgriAdvisory, 
HyperLocalAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
cropSeason,TXP,"The season in which the crop species is planted and harvested. ENUM [Kharif, Rabi, Zaid].","CropCondition,
AgriAdvisory, 
HyperLocalAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,surveyExtent,"2,",'':<surveyExtent>
season,TXP,"Represents specific time of the year that has distinct weather patterns and conditions, such as summer, autumn (fall), etc.","Weather,
CropCondition,
AgriAdvisory, 
HyperLocalAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
personnelInfo,SP,Personnel information of an individual or business corresponding to this observation.,"Farmer,
OtherAgroChemical,
AgriAdvisory, 
HyperLocalAdvisory",PersonnelDesc,,,1,0,,,,,,,,,,
cropVarietyName,TXP,The variations within the plant species either naturally or developed in research station.,"CropCondition,
AgriAdvisory, 
HyperLocalAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,villageName,"ALLAPADU,",'':<villageName>
advisoryNature,TXP,The nature of advisory corresponding to this observation.,"AgriAdvisory, 
HyperLocalAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
natureOfProblem,TXP,"The problem for which the advisory has been issued to the people such as flood, cyclone, insects attack, diseases, etc.","AgriAdvisory, 
HyperLocalAdvisory","Text,
ValueDescriptor",,,1,0,,,,,,,,,,
mediaURL,TXP,Link(s) to any image(s) or media of the entity or incident corresponding to this observation,"LandParcel,
AgriAdvisory, 
HyperLocalAdvisory","Text,
Text-list,
ValueDescriptor",,,1,1,,,,,,,,,,
fileFormat,TXP,Format of the media file corresponding to this observation.,"AgriAdvisory, 
HyperLocalAdvisory","Text,
Text-list,
ValueDescriptor",,,1,1,,,,,,,,,,
advisoryChannel,TXP,The channel(s) for communicating the advisory information to reach a larger group of people. ,"AgriAdvisory, 
HyperLocalAdvisory","Text,
Text-list,
ValueDescriptor",,,1,0,,,,,,,,,,
regionalLangID,TXP,The unique ID representing the regional language of the location corresponding to this observation.,"AgriAdvisory, 
HyperLocalAdvisory","Text,
ValueDescriptor",,,1,0,,,,,,,,,,
regionalLangName,TXP,The name of the regional language corresponding to this observation.,"AgriAdvisory, 
HyperLocalAdvisory","Text,
ValueDescriptor",,,1,0,,,,,,,,,,
feedback,TXP,The opinions or evaluations of an individual or group about an entity or service corresponding to this observation,"AgriMarket,
AgriAdvisory, 
HyperLocalAdvisory","Text, ValueDescriptor",,,1,0,,,,,,,,,,
ndvi,TXP,The value of Normalized Differential Vegetation Index (NDVI) which is a metric for quantifying the health and density of vegetation of the crop corresponding to this observation.,"CropCondition, 
HyperLocalAdvisory","Text,
Text-list, ValueDescriptor",,,1,0,,,,,,,,,,
lai,TXP,The Leaf Area Index (LAI) quantifies the amount of leaf material in a canopy. It is the ratio of one-sided leaf area per unit ground area.,"CropCondition, 
HyperLocalAdvisory","Text,
Text-list, ValueDescriptor",,,1,0,,,,,,,,,,
landIdentityInfo,SP,The unique land identification information corresponding to this observation.,"LandParcel, 
HyperLocalAdvisory",LandIdentityDesc,,,1,0,,,,,,,,,,
