label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link ,,,,,,,,,
landIdentityInfo,SP,The unique land identification information corresponding to this observation.,LandParcel,LandIdentityDesc,,,0,0,,,,,,,,,,
cropArea,QP,"Area of the agricultural land used for cultivation, i.e, the arable land area.",LandParcel,"Number, ValueDescriptor",,,0,0,,,,,,,,,,
ownershipType,TXP,"The type of ownership of the entity corresponding to this observation. ENUM: [Lease, Rent, Own]",LandParcel,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
landExtent,QP,Area of the land corresponding to this observation.,LandParcel,"Number, ValueDescriptor",,,0,0,,,,,,,,,,
location,GP,The location mapping the boundaries of the land parcel corresponding to the observation.,LandParcel,"Place, ValueDescriptor",,,1,1,,,,,,,,,,
soleCrop,TXP,The major crop cultivated in the farm corresponding to this observation.,LandParcel,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
interCrops,TXP,The crops which are cultivated in addition to the major crop in the farm corresponding to this observation.,LandParcel,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
sowingDate,TP,The date at which the crop has been sown in the farm corresponding to this observation.,LandParcel,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
harvestDate,TP,The date at which the crop has been harvested in the farm corresponding to this observation.,LandParcel,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
capitalInfo,SP,The income and expenditure information corresponding to the entity.,LandParcel,CapitalDesc,,,0,0,,,,,,,,,,
landCondition ,TXP,"Explains the current condition of the farm. It can take up a value like Barren, Cultivated, Harvested, etc.",LandParcel,"Text, ValueDescriptor",,farmCondition,0,0,,,,,,,,,,
landGeography,TXP,"The geographic characteristics of the land such as desert, hilly, etc ",LandParcel,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
landSlope,QP,The extent that a soil surface has an incline relative to the horizontal.,LandParcel,"Number, ValueDescriptor",,,0,0,,,,,,,,,,
observationDateTime,TP,Last reported time of observation.,"LandParcel,
Commons","DateTime, ValueDescriptor",,,0,0,,,,,,,,,,
localeInfo,SP,Locale information corresponding to this observation.,LandParcel,LocaleDesc,,,0,0,,,,,,,,,,
ler,QP,Land Equivalent Ratio (LER) is the ratio of the area under sole cropping to the area under intercropping needed to give equal amounts of yield at the same management level.,LandParcel,"Number, ValueDescriptor",,,0,0,,,,,,,,,,
totalCropYield,QP,The harvested production from the crop land.,LandParcel,"Number, ValueDescriptor",,,0,0,,,,,,,,finYear,"2022,",'':<finYear>
mediaURL,TXP,Link(s) to any image(s) or media of the entity or incident corresponding to this observation,LandParcel,"Text,
Text-list,
 ValueDescriptor",,,1,1,,,,,,,,,,
irrigationSource,TXP,"The source of irrigation for a land, such as well, canals, tanks, borewell, etc",LandParcel,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
irrigationType,TXP ,"The type of irrigation for a farm land, such as sprinkler, drip, furrow, etc",LandParcel,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
leasePeriod,TXP,The duration or tenure of the lease for a entity corresponding to this observation.,LandParcel,"Text, ValueDescriptor",,,0,0,,,,,,,,,,
ownerInfo,SP,Details of the person who owns the entity corresponding to this observation.,"Drone,
AgriMachinery, LandParcel",PersonnelDesc,,,0,0,,,,,,,,,,
lessorInfo,SP,Details of the person who leases the entity corresponding to this observation.,"Drone,
AgriMachinery, LandParcel",PersonnelDesc,,,0,0,,,,,,,,,,
landClassName,TXP,"The name of the land classification as assigned by the government. Land classification can be based on several aspects such as type of land settlements, resource availability, irrigation etc.",LandParcel,"Text, 
ValueDescriptor",,,0,0,https://maps.sewrpc.org/regionallandinfo/metadata/sewrpc_2000_lu_classifications.pdf,,,,,,,,,
landClassCode,TXP,"The code of land classification as assigned by the government. Land classification can be based on several aspects such as type of land settlements, resource availability, irrigation etc.",LandParcel,"Text, 
ValueDescriptor",,,0,0,https://maps.sewrpc.org/regionallandinfo/metadata/sewrpc_2000_lu_classifications.pdf,,,,,,,,,
