label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
stateCode,TXP,The state code corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
stateName,TXP,Name of the state corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
districtCode,TXP,The district code corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
districtName,TXP,Name of the district corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
subdistrictCode,TXP,The subdistrict code corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
subdistrictName,TXP,"Name of the subdistrict corresponding to this observation.  A subdistrict is also called as a tehsil, mandal, tahsil, tahasil, taluka, taluk, or taluq across the Indian states.",LocaleDesc,"Text, ValueDescriptor",,,0,0,
clusterCode,TXP,The cluster code corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,firkasCode,0,0,
clusterName,TXP,Name of the cluster corresponding to this observation. A cluster or a firkas represents a group of villages.,LocaleDesc,"Text, ValueDescriptor",,firkasName,0,0,
villageCode,TXP,The village code corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
villageName,TXP,Name of the village corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
revenueDivision,TXP,Name of the revenue division in a district corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,https://chennai.nic.in/about-district/administrative-setup/revenue-administration/
revenueDivisionCode,TXP,The revenue division code corresponding to this observation,LocaleDesc,"Text, ValueDescriptor",,,0,0,
wardID,TXP,Ward ID corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
wardName,TXP,Ward name corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
zoneID,TXP,Zone ID corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
zoneName,TXP,Zone name corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
countryName,TXP,Name of the country corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
countryCode,TXP,Name of the country code corresponding to this observation.,LocaleDesc,"Text, ValueDescriptor",,,0,0,
