label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
boron,QP,Observed value of Boron composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
ca,QP,Observed value of Calcium composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
cl,QP,Observed value of Chlorine composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
cu,QP,Observed value of Copper composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
fe,QP,Observed value of Iron composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
k2o,QP,Observed value of Potassium Oxide composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
mgo,QP,Observed value of Magnesium Oxide composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
mn,QP,Observed value of Manganese composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
mo,QP,Observed value of Molybdenum composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
nitrogen,QP,Observed value of Nitrogen composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
organicCarbon,QP,Observed value of Organic Carbon composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
p2o5,QP,Observed value of Phosphorus Pentoxide composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
phosphorus,QP,Observed value of Phosphorus composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,"https://www.dpi.nsw.gov.au/agriculture/entity under consideration.s/entity under consideration.-testing-and-analysis/plant-nutrients#:~:text=Soil%20is%20a%20major%20source,are%20calcium%2C%20magnesium%20and%20sulfur."
potassium,QP,Observed value of Potassium composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
sulphur,QP,Observed value of sulphur composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
zn,QP,Observed value of Zinc composition in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
co3,QP,Observed value of Carbon trioxide in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
hco3,QP,Observed value of Bicarbonate in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
tds,QP,Observed value of Carbon trioxide in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
fluorine,QP,Observed value of Fluorine in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
no3,QP,Observed value of Nitrate in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
so4,QP,Observed value of Sulphate in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
na,QP,Observed value of Sodium in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
mg ,QP,Observed value of Magnesium in the entity under consideration.,NutrientDesc,"Number, ValueDescriptor",,,0,0,
