label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
dob,TP,Date of birth (DOB) of the individual corresponding to this observation.,PersonnelDesc,"Text, ValueDescriptor",,,0,0,
birthPlace,TXP,Place of birth of the individual corresponding to this observation.,PersonnelDesc,"Text, ValueDescriptor",,,0,0,
gender,TXP,Gender of the individual corresponding to this observation,PersonnelDesc,"Text, ValueDescriptor",,,0,0,
name,TXP,Name of the individual corresponding to this observation,PersonnelDesc,"Text, ValueDescriptor",,,1,1,
phone,TXP,Phone number  corresponding to this observation,PersonnelDesc,"Text, ValueDescriptor",,,0,0,
email,TXP,Email address of the individual corresponding to this observation,PersonnelDesc,"Text, ValueDescriptor",,,0,0,
residentialAddress,SP,Residential address corresponding to this observation,PersonnelDesc,AddressDesc,,,0,0,
permanentAddress,SP,Permanent address corresponding to this observation,PersonnelDesc,AddressDesc,,,0,0,
businessAddress,SP,Business address corresponding to this observation,PersonnelDesc,AddressDesc,,,0,0,
salutation,TXP,Salutation of the individual corresponding to this observation,PersonnelDesc,"Text, ValueDescriptor",,,0,0,
designation,TXP,Designation of the individual corresponding to this observation,PersonnelDesc,"Text, ValueDescriptor",,,0,0,
identityInfo,SP,Personal identification information issued by the government.,PersonnelDesc,IdentityDesc,,,0,0,
imageURL,TXP,The link that points to the picture of the individual or an entity corresponding to this observation.,PersonnelDesc,"Text,
Text-list, ValueDescriptor",,,0,0,
academicQualification,TXP,The highest educational qualification of the individual corresponding to this observation.,PersonnelDesc,"Text, ValueDescriptor",,,0,0,
workStatus,TXP,"The work status indicates whether the individual or entity is actively working, on leave, part-time, full-time, temporary, permanent, retired or in any other specific arrangement.",PersonnelDesc,"Text, ValueDescriptor",,,0,0,
nationality,TXP,Represents the nation that the individual corresponding to this observation belongs to.,PersonnelDesc,"Text, ValueDescriptor",,,0,0,
expertise,TXP,"The advanced knowledge, skills, and understanding acquired through education, training, and experience in diverse agricultural aspects, aiding in productivity, risk reduction, resource conservation, and sustainable profitability.",PersonnelDesc,"Text, ValueDescriptor",,,0,0,
fieldOfResearch,TXP,"A particular area or subject of study that undergoes investigation, exploration, and systematic examination to acquire fresh knowledge, insights, and comprehension.",PersonnelDesc,"Text, ValueDescriptor",,,0,0,
jurisdiction,TXP,The administrative divisions within which the entity holds territorial scope of authority.,PersonnelDesc,"Text,
Text-list,
ValueDescriptor",,,0,0,
language,TXP,Represents the language(s) that can be used for communicating with an entity or those offered by a service corresponding to this observation.,"
PersonnelDesc","Text,
Text-list,
ValueDescriptor",Fiware: CPSV-AP.PublicService,,0,0,
