label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link ,
recommendedCrops,TXP,The top recommended crops that can be cultivated for the season as suggested by the advisory entity.,"AgriAdvisory,
CropCondition,
RecommendedCropVariety","Text,
Text-list,
ValueDescriptor",,,1,0,,"[""CROP1"", ""CROP2""]"
recommendedCropVariety,TXP,The top recommended crop varieties that can be cultivated for the season as suggested by the advisory entity.,"AgriAdvisory,
CropCondition,
RecommendedCropVariety","Text,
Text-list,
ValueDescriptor",,,1,0,,"[ ""<CROP1variety1>,<CROP1variety2>,<CROP1variety3>"" , 
""<CROP2variety1>,<CROP2variety2>,<CROP2variety3>""]"
recommendingAuthority,TXP,"Provides guidance and suggestions on agricultural practices, techniques, and decisions to enhance productivity and sustainability.","CropCondition, AgriAdvisory,
RecommendedCropVariety","Text, ValueDescriptor",,,1,0,,
landExtent,QP,Area of the land corresponding to this observation.,"LandParcel,
AgriMarket, AgriAdvisory,
RecommendedCropVariety","Number, ValueDescriptor",,,1,0,,
landIdentityInfo,SP,The unique land identification information corresponding to this observation.,"LandParcel,
AgriAdvisory,
RecommendedCropVariety",LandIdentityDesc,,,1,0,,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
AgriAdvisory, 
HyperLocalAdvisory,
RecommendedCropVariety",LocaleDesc,,,1,0,,
soilClass,TXP,The soil class may be specified as per the national system of soil classification or customizing the WRB(World Reference Base) codes.,"SoilHealth,
RecommendedCropVariety","Text, ValueDescriptor",,,1,0,Table2: https://www.fao.org/3/i3794en/I3794en.pdf,
soilCategory,TXP,The soil category may be specified as per the national system of soil classification or customizing the WRB(World Reference Base) codes.,"SoilHealth,
RecommendedCropVariety","Text, ValueDescriptor",,,1,0,Table2: https://www.fao.org/3/i3794en/I3794en.pdf,
observationDateTime,TP,Last reported time of observation.,"ConsentHistory,
LandParcel","DateTime,
ValueDescriptor",,,1,0,,
validFrom,TP,The instance from which an official report/document or consent or service corresponding to this observation is valid.,"ConsentArtifact,
AgriAdvisory,
RecommendedCropVariety","Text, ValueDescriptor",,consentIssual,1,0,,
validTill,TP,"The specific period of time during which a document, authorization, offer or permission remains legally or effectively acceptable/applicable.","ConsentArtifact,
AgriAdvisory,
RecommendedCropVariety","Text, ValueDescriptor",,consentExpiry,1,0,,
