label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
originName,TXP,The name of the origin location corresponding to this observation.,TransportCost,"Text, ValueDescriptor",,,0,0,
destinationName,TXP,The name of the destination location corresponding to this observation.,TransportCost,"Text, ValueDescriptor",,,0,0,
originCode,TXP,The code of the origin location corresponding to this observation.,TransportCost,"Text, ValueDescriptor",,,0,0,
destinationCode,TXP,The code of the destination location corresponding to this observation.,TransportCost,"Text, ValueDescriptor",,,0,0,
capitalInfo,SP,The income and expenditure information corresponding to the entity.,"LandParcel,
Farmer,
TransportCost",CapitalDesc,,,1,0,
insuranceInfo,SP,The information about the insurance for the product or equipment or service corresponding to this observation.,TransportCost,CropInsurance,,,0,0,
mediaURL,TXP,Link(s) to any image(s) or media of the entity or incident corresponding to this observation,"LandParcel, Transporter,TransportCost","Text,
Text-list,
ValueDescriptor",,,1,1,
commodityInfo,SP,The information about the agricultural produce/commodity associated with the amc/market corresponding to this observation.,"AgriMarket, TransportCost",DomesticPriceInfo,,,1,0,
validTill,TP,"The specific period of time during which a document, authorization, offer or permission remains legally or effectively acceptable/applicable.",TransportCost,"Text, ValueDescriptor",,consentExpiry,0,0,
enquiryDate,TP,The date on which the enquiry has been made corresponding to this observation.,TransportCost,"Text, ValueDescriptor",,,0,0,
contactPointInfo,SP,Contact point information of a business/service corresponding to this observation,"AgriMarket,
Farmer, Transporter, TransportCost",ContactPointDesc,,,1,0,
name,TXP,Name of the individual corresponding to this observation,"PersonnelDesc,Transporter, TransportCost","Text, ValueDescriptor",,,1,1,
phone,TXP,Phone number  corresponding to this observation,"PersonnelDesc,Transporter, TransportCost","Text, ValueDescriptor",,,1,0,
email,TXP,Email address of the individual corresponding to this observation,"PersonnelDesc,Transporter, TransportCost","Text, ValueDescriptor",,,1,0,
identityInfo,SP,Personal identification information issued by the government.,"PersonnelDesc,Transporter, TransportCost",IdentityDesc,,,1,0,
