label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
mediaURL,TXP,Link(s) to any image(s) or media of the entity or incident corresponding to this observation,"LandParcel, Transporter","Text,
Text-list,
ValueDescriptor",,,1,1,
vehicleType,TXP,Describes the type of vehicle corresponding to this observation,Transporter,"Text, ValueDescriptor",,,0,0,
vehicleCapacity,QP,Describes the total capacity of the vehicle corresponding to this observation.,Transporter,"Number, 
ValueDescriptor",,,0,0,
vehicleCount,QP,The total number of vehicles belonging to the entity or involved in the activity/service corresponding to this observation.,Transporter,"Number, 
ValueDescriptor",,,0,0,
contactPointInfo,SP,Contact point information of a business/service corresponding to this observation,"AgriMarket,
Farmer, Transporter",ContactPointDesc,,,1,0,
userScore,QP,The feedback rating given by the user based on his personal experience with the products or things or services.,Transporter,"Number, 
ValueDescriptor",,,0,0,
legalStatus,TXP,The legal status of the entity corresponding to this observation.,"Transporter,
FarmerCollective","Text, ValueDescriptor",,,1,0,
foundingDate,TP,The date when the association/business/market was established.,"AgriMarket,Transporter","Text, ValueDescriptor",,,1,0,
pos,GP,Point of Sale (POS) represents the location(s) where transactions are completed when goods or services are sold corresponding to this observation.,"AgriBusiness,Transporter","Place, ValueDescriptor",,,1,0,
name,TXP,Name of the individual corresponding to this observation,"PersonnelDesc,Transporter","Text, ValueDescriptor",,,1,1,
phone,TXP,Phone number  corresponding to this observation,"PersonnelDesc,Transporter","Text, ValueDescriptor",,,1,0,
email,TXP,Email address of the individual corresponding to this observation,"PersonnelDesc,Transporter","Text, ValueDescriptor",,,1,0,
residentialAddress,SP,Residential address corresponding to this observation,"PersonnelDesc,Transporter",AddressDesc,,,1,0,
permanentAddress,SP,Permanent address corresponding to this observation,"PersonnelDesc,Transporter",AddressDesc,,,1,0,
businessAddress,SP,Business address corresponding to this observation,"PersonnelDesc,Transporter",AddressDesc,,,1,0,
salutation,TXP,Salutation of the individual corresponding to this observation,"PersonnelDesc,Transporter","Text, ValueDescriptor",,,1,0,
designation,TXP,Designation of the individual corresponding to this observation,"PersonnelDesc,Transporter","Text, ValueDescriptor",,,1,0,
identityInfo,SP,Personal identification information issued by the government.,"PersonnelDesc,Transporter",IdentityDesc,,,1,0,
jurisdiction,TXP,The administrative divisions within which the entity holds territorial scope of authority.,"PersonnelDesc,Transporter","Text,
Text-list,
ValueDescriptor",,,1,0,
